807,998,74
806,790,336
616,510,31
296,51,0
448,621,212
36,536,0
13,636,0
817,1040,174
597,204,0
596,499,69
702,124,0
609,278,43
849,392,0
24,82,0
786,400,0
603,585,174
450,637,102
262,79,0
1071,175,0
393,1046,131
325,718,10
3,138,0
649,937,317
90,611,0
31,870,0
863,561,275
222,835,7
339,754,40
468,909,56
36,251,0
221,525,123
318,121,0
1076,803,0
900,510,129
529,200,0
1078,588,0
168,924,0
427,115,0
1063,61,0
1074,952,0
291,694,9
996,344,0
46,799,0
523,274,35
638,34,0
37,21,0
1008,952,13
878,748,279
110,669,0
317,301,52
81,88,0
855,580,191
765,47,0
856,193,0
933,8,0
445,62,0
887,68,0
575,437,89
520,4,0
221,736,12
518,773,152
691,285,192
840,1047,210
958,764,184
533,193,0
878,624,315
340,623,17
786,519,216
1002,330,0
590,282,84
196,687,19
726,1049,374
145,960,0
309,482,16
675,46,0
882,40,0
47,1061,0
834,654,275
689,494,30
621,187,0
707,906,156
342,272,40
715,745,127
89,274,0
838,959,71
68,70,0
277,422,65
72,995,0
792,641,129
543,1006,202
354,217,32
892,1023,185
408,803,133
447,653,94
780,963,250
606,25,0
477,508,68
324,394,20
806,1078,266
1059,163,0
234,1068,31
81,186,0
131,1012,0
245,617,23
745,248,107
98,372,0
836,810,349
109,1040,0
759,738,325
517,1062,113
446,302,0
118,482,0
256,570,35
41,549,0
426,841,164
160,678,0
993,898,13
401,321,29
925,555,74
971,964,48
292,95,0
539,341,80
800,528,194
160,124,0
1052,758,0
907,168,0
995,238,0
496,790,124
284,568,18
732,591,100
39,217,0
317,51,0
543,243,0
862,169,0
192,186,0
971,984,17
578,1050,240
34,294,0
399,1059,138
959,456,0
1073,850,0
691,96,0
894,924,293
